txn_id,date,merchant,amount,currency,status,category,account_id,notes
TXN001,01-05-2026,Swiggy,450,inr,success,Food,ACC1001,
TXN002,2026/05/02,Amazon,2499,INR,SUCCESS,Shopping,ACC1001,
TXN003,03-05-2026,Ola,320,INR,Success,,ACC1001,
TXN004,2026/05/04,IRCTC,1550,USD,SUCCESS,Travel,ACC1001,SUSPICIOUS
TXN005,05-05-2026,Electricity Board,$2200,INR,FAILED,Utilities,ACC1002,
TXN006,2026/05/06,ATM Withdrawal,10000,INR,SUCCESS,,ACC1002,
TXN007,07-05-2026,Netflix,649,INR,pending,Entertainment,ACC1002,
TXN008,2026/05/08,Zomato,720,INR,SUCCESS,,ACC1003,
TXN009,09-05-2026,Flipkart,1899,INR,SUCCESS,Shopping,ACC1003,
TXN010,2026/05/10,Ola,12500,USD,SUCCESS,Transport,ACC1003,Duplicate?
TXN010,2026/05/10,Ola,12500,USD,SUCCESS,Transport,ACC1003,Duplicate?
,11-05-2026,PVR Cinemas,850,INR,SUCCESS,,ACC1004,
TXN012,2026/05/12,Mobile Recharge,399,INR,SUCCESS,Utilities,ACC1004,
TXN013,13-05-2026,Hotel Blue,$180,USD,SUCCESS,Travel,ACC1004,
TXN014,2026/05/14,Cafe Coffee Day,260,INR,success,,ACC1001,
TXN015,15-05-2026,Swiggy,9000,USD,SUCCESS,Food,ACC1001,SUSPICIOUS large order
TXN016,2026/05/16,Metro Card,500,INR,SUCCESS,Transport,ACC1002,
TXN017,17-05-2026,Local Store,1100,INR,FAILED,,ACC1002,
TXN018,2026/05/18,Spotify,119,INR,SUCCESS,Entertainment,ACC1003,
TXN019,19-05-2026,Water Utility,750,INR,SUCCESS,,ACC1003,
TXN020,2026/05/20,Air India,8500,INR,SUCCESS,Travel,ACC1004,
